"","pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG","Player Rank 1314","Player Rank 1415"
"1843","D","HUNWICK","MATT","44 MATT HUNWICK","MATT HUNWICK",1843,755,0,0,0,55,0,"D","D"
"1844","R","SETOGUCHI","DEVIN","22 DEVIN SETOGUCHI","DEVIN SETOGUCHI",1844,485,0,0,12,0,0,"B","D"
"1845","R","HAYES","KEVIN","13 KEVIN HAYES","KEVIN HAYES",1845,1368,0,0,79,0,0,NA,"B"
"1846","C","GRIFFITH","SETH","53 SETH GRIFFITH","SETH GRIFFITH",1846,1369,30,0,0,0,0,NA,"D"
"1847","D","KOSTKA","MICHAEL","4 MICHAEL KOSTKA","MICHAEL KOSTKA",1847,1016,0,0,0,7,0,NA,NA
"1848","L","MALONE","RYAN","24 RYAN MALONE","RYAN MALONE",1848,145,0,6,0,0,0,"B","D"
"1849","C","JONES","BLAIR","41 BLAIR JONES","BLAIR JONES",1849,140,4,0,0,0,0,"D","D"
"1850","L","SCOTT","JOHN","20 JOHN SCOTT","JOHN SCOTT",1850,493,0,38,0,0,0,"D","D"
"1851","L","BOYCHUK","ZACH","22 ZACH BOYCHUK","ZACH BOYCHUK",1851,713,0,31,0,0,0,"D","D"
"1852","D","STRACHAN","TYSON","24 TYSON STRACHAN","TYSON STRACHAN",1852,917,0,0,0,46,0,"D","D"
"1853","C","ANDREOFF","ANDY","15 ANDY ANDREOFF","ANDY ANDREOFF",1853,1370,18,0,0,0,0,NA,"D"
"1854","D","NURSE","DARNELL","25 DARNELL NURSE","DARNELL NURSE",1854,1371,0,0,0,2,0,NA,"D"
"1855","C","YAKIMOV","BOGDAN","39 BOGDAN YAKIMOV","BOGDAN YAKIMOV",1855,1372,1,0,0,0,0,NA,"D"
"1856","G","BACHMAN","RICHARD","32 RICHARD BACHMAN","RICHARD BACHMAN",1856,808,0,0,0,0,30,NA,NA
"1857","C","SUTTER","BRODY","48 BRODY SUTTER","BRODY SUTTER",1857,1373,4,0,0,0,0,NA,"D"
"1858","R","JOORIS","JOSH","86 JOSH JOORIS","JOSH JOORIS",1858,1374,0,0,60,0,0,NA,"C"
"1859","R","WAGNER","CHRIS","62 CHRIS WAGNER","CHRIS WAGNER",1859,1375,0,0,9,0,0,NA,"D"
"1860","G","AITTOKALLIO","SAMI","74 SAMI AITTOKALLIO","SAMI AITTOKALLIO",1860,1134,0,0,0,0,1,NA,NA
"1861","L","MCKENZIE","CURTIS","11 CURTIS MCKENZIE","CURTIS MCKENZIE",1861,1376,0,36,0,0,0,NA,"D"
"1862","C","MUELLER","CHRIS","14 CHRIS MUELLER","CHRIS MUELLER",1862,824,7,0,0,0,0,"D","D"
"1863","D","LINDBOHM","PETTERI","48 PETTERI LINDBOHM","PETTERI LINDBOHM",1863,1377,0,0,0,23,0,NA,"D"
"1864","L","DROUIN","JONATHAN","27 JONATHAN DROUIN","JONATHAN DROUIN",1864,1378,0,70,0,0,0,NA,"B"
"1865","G","DARLING","SCOTT","33 SCOTT DARLING","SCOTT DARLING",1865,1379,0,0,0,0,37,NA,NA
"1866","R","BLUNDEN","MIKE","46 MIKE BLUNDEN","MIKE BLUNDEN",1866,709,0,0,2,0,0,"D","D"
"1867","C","CARRICK","SAM","53 SAM CARRICK","SAM CARRICK",1867,1380,16,0,0,0,0,NA,"D"
"1868","D","ZADOROV","NIKITA","51 NIKITA ZADOROV","NIKITA ZADOROV",1868,1200,0,0,0,60,0,"D","D"
"1869","R","CRACKNELL","ADAM","32 ADAM CRACKNELL","ADAM CRACKNELL",1869,868,0,0,17,0,0,"D","D"
"1870","G","FORSBERG","ANTON","31 ANTON FORSBERG","ANTON FORSBERG",1870,1381,0,0,0,0,24,NA,NA
"1871","D","GOLOUBEF","CODY","29 CODY GOLOUBEF","CODY GOLOUBEF",1871,987,0,0,0,36,0,"D","D"
"1872","D","JOKIPAKKA","JYRKI","2 JYRKI JOKIPAKKA","JYRKI JOKIPAKKA",1872,1382,0,0,0,51,0,NA,"D"
"1873","C","PAQUETTE","CEDRIC","13 CEDRIC PAQUETTE","CEDRIC PAQUETTE",1873,1327,64,0,0,0,0,"D","D"
"1874","D","REDMOND","ZACH","22 ZACH REDMOND","ZACH REDMOND",1874,1059,0,0,0,59,0,"D","C"
"1875","D","GOSTISBEHERE","SHAYNE","53 SHAYNE GOSTISBEHERE","SHAYNE GOSTISBEHERE",1875,1383,0,0,0,2,0,NA,"D"
"1876","R","JASKIN","DMITRIJ","23 DMITRIJ JASKIN","DMITRIJ JASKIN",1876,1140,0,0,54,0,0,"D","D"
"1877","C","MARCHESSAULT","JONATHAN","42 JONATHAN MARCHESSAULT","JONATHAN MARCHESSAULT",1877,1058,2,0,0,0,0,NA,NA
"1878","C","HODGMAN","JUSTIN","12 JUSTIN HODGMAN","JUSTIN HODGMAN",1878,1384,5,0,0,0,0,NA,"D"
"1879","C","BOUCHER","REID","18 REID BOUCHER","REID BOUCHER",1879,1239,3,0,0,0,0,"D","D"
"1880","L","HEATLEY","DANY","51 DANY HEATLEY","DANY HEATLEY",1880,476,0,6,0,0,0,"A","D"
"1881","D","GUNNARSSON","CARL","4 CARL GUNNARSSON","CARL GUNNARSSON",1881,61,0,0,0,61,0,"B","B"
